CardID,CardName,CategoryID,CardType,Cost,SavingsChange,Weight,MinDay,MaxDay,IsActive,ShortText,FeedbackText,Consequence,ContextSG
FOOD_001,Cook at Home,FOOD,Meal,2,0,12,1,7,True,Cook simple meal at home,Meal prep saves money compared to eating out.,Healthy habit,Pack lunch from home
FOOD_002,School Canteen,FOOD,Meal,4,0,10,1,7,True,Grab meal at school canteen,School meals are predictable budgeting choices.,Standard choice,School canteen meal
FOOD_003,Fast Food,FOOD,Treat,7,0,8,1,7,True,Order McD or KFC,Small frequent indulgences add up fast.,Habit risk high,Fast food temptation
FOOD_004,Forgot Lunch,FOOD,Meal,6,0,6,2,7,True,Forgot lunch emergency buy,Unplanned costs show why tracking matters.,Unexpected cost,Emergency food purchase
FOOD_005,Hawker Centre,FOOD,Meal,3,0,11,1,7,True,Eat at local hawker stall,Affordable local food is budget-friendly.,Good value,Hawker food (SG culture)
FOOD_006,Friend Lunch,FOOD,SocialMeal,5,0,5,2,7,True,Lunch with friends at cafe,Social meals cost more but can build bonds.,Social spending,Lunch with peers
FOOD_007,Instant Noodles,FOOD,Snack,1,0,9,2,7,True,Quick instant noodles at home,"Ultra budget option, but not a complete meal.",Rock bottom,Home quick meal
FOOD_008,Cafe Brunch,FOOD,Treat,8,0,6,1,7,True,Brunch at trendy cafe,Trendy spots drain budget fast.,Premium option,Cafe brunch spending
FOOD_009,Bento Box,FOOD,Meal,5,0,9,1,7,True,Buy packed bento lunch,Pre-packed meals save time at moderate cost.,Convenience,Bento box lunch
FOOD_010,School Event Food,FOOD,SchoolEvent,2,0,7,3,6,True,Get food at school event,School events can reduce food spending.,Win situation,Free school meal
FOOD_011,Weekend Dessert,FOOD,Treat,4,0,5,5,7,True,Dessert or ice cream treat,Weekend treats are fine when planned.,Morale boost,Weekend treat
FOOD_012,Cooking Class Pot Luck,FOOD,SocialMeal,3,0,4,4,7,True,Contribute to class potluck,Sharing food builds community at a fair cost.,Social good,Potluck contribution
FOOD_013,Bring Water Bottle,FOOD,Generic,0,0,7,1,7,True,Refill your bottle instead of buying drinks,Small avoided purchases protect your budget.,Good habit,Bring water bottle
TRAN_001,Take Bus,TRANSPORT,Commute,2,0,12,1,7,True,Take the bus,Consistent transport is predictable budgeting.,Daily reliable,Public bus commute
TRAN_002,Walk If Possible,TRANSPORT,Commute,0,0,7,1,7,True,Walk if the distance is manageable,Walking saves transport money but takes time.,Physical effort,Walking as alternative
TRAN_003,Top-Up EZ-Link,TRANSPORT,Generic,10,0,5,2,7,True,Top-up EZ-Link card,Travel card top-ups are fixed costs to plan.,Necessary expense,EZ-Link card top-up
TRAN_004,Grab Ride,TRANSPORT,EmergencyTravel,12,0,4,3,7,True,Book a Grab because you are late,Fast rides are premium. Plan ahead where possible.,High urgency cost,GrabCar premium
TRAN_005,Bike or Skate,TRANSPORT,Commute,0,0,6,1,7,True,Bike or skate to destination,Active transport saves money when suitable.,Eco smart,Bike commute
TRAN_006,MRT Journey,TRANSPORT,LongTrip,3,0,10,1,7,True,Take MRT for longer trip,MRT is reliable for longer distances.,Good coverage,MRT train ride
TRAN_007,School Bus,TRANSPORT,LongTrip,1,0,8,1,7,True,Use school-provided bus,School provided transport saves cash.,School perk,Free school bus
TRAN_008,Unexpected Taxi,TRANSPORT,EmergencyTravel,15,0,3,4,7,True,Emergency taxi fare needed,Unexpected transport costs hit hard.,Emergency expense,Taxi emergency
TRAN_009,Carpool with Friends,TRANSPORT,WeekendTravel,2,0,8,2,7,True,Split car ride with friends,Shared rides reduce cost for everyone.,Smart split,Carpool sharing
TRAN_010,Parking Charge,TRANSPORT,Errand,5,0,3,3,7,True,Unexpected parking cost,Hidden transport costs can surprise your budget.,Surprise cost,Parking fee
TRAN_011,Motorcycle Ride,TRANSPORT,EmergencyTravel,3,0,5,2,7,True,Take a quick motorcycle ride,"Cheap and quick, but consider safety and context.",Budget risky,Motorcycle taxi
TRAN_012,Public Holiday Free Travel,TRANSPORT,WeekendTravel,0,2,4,5,7,True,Free public travel today bonus,Special travel deals can help your budget.,Lucky day,Holiday bonus travel
TRAN_013,Use Concession Route,TRANSPORT,Generic,1,0,9,1,7,True,Choose the cheaper public transport route,A slower route can save small amounts daily.,Smart route,Student concession choice
TRAN_014,Umbrella Walk,TRANSPORT,WeatherTravel,0,0,6,2,7,True,Walk with umbrella if safe,Bad weather tests whether saving is worth the discomfort.,Weather trade-off,Rainy day walking
TRAN_015,Tuition Bus Trip,TRANSPORT,TuitionTravel,2,0,8,2,6,True,Take bus to tuition,Tuition travel is a repeat cost to plan for.,Routine cost,Tuition transport
LEIS_001,Skip Outing,LEISURE,Generic,0,0,8,1,7,True,Decline outing with friends,Saying no protects your savings goal.,Social sacrifice,Decline plans
LEIS_002,Void Deck Hangout,LEISURE,FriendHangout,0,0,10,1,7,True,Hang at void deck with friends,Free social time builds bonds.,Zero cost,Void deck hangout
LEIS_003,Cinema Visit,LEISURE,MovieTime,9,0,7,2,7,True,Movie at theatre with friends,Premium entertainment choice.,Premium social,Cinema trip
LEIS_004,Birthday Gift,LEISURE,ClassCelebration,8,0,5,3,7,True,Buy gift for classmate birthday,"Sharing costs shows care, but plan for it.",Social responsibility,Peer gift purchase
LEIS_005,Gaming at Arcade,LEISURE,Gaming,6,0,6,2,7,True,Arcade games with friends,"Fun, but tokens add up quickly.",Token drain,Arcade visit
LEIS_006,Sports Game Ticket,LEISURE,SportsEvent,10,0,4,4,7,True,Ticket to school sports event,Supporting school can cost money.,School spirit,Sports event ticket
LEIS_007,Karaoke Night,LEISURE,FriendHangout,12,0,3,3,7,True,Karaoke session with friends,Group entertainment can become expensive.,Group expense,Karaoke night
LEIS_008,Class Gathering,LEISURE,ClassCelebration,5,0,6,2,7,True,Chip in for class gathering,Shared events reduce individual cost.,Shared fun,Class event
LEIS_009,Beach Day,LEISURE,WeekendFun,7,0,5,5,7,True,Day trip to beach with friends,Transport plus snacks add up.,Day trip cost,Beach outing
LEIS_010,Online Gaming,LEISURE,Gaming,2,0,8,1,7,True,Play online games at home,Home gaming is budget friendly.,Free fun,Home gaming
LEIS_011,Concert Event,LEISURE,WeekendFun,15,0,2,5,7,True,Unexpected concert tickets dropped,Hot ticket opportunities can drain budget.,Temptation,Concert announcement
LEIS_012,Book Club Meet,LEISURE,Hobby,3,0,6,2,7,True,Join library book club with coffee,Low-cost hobby time can still be meaningful.,Cheap culture,Book club meet
LEIS_013,Hobby Supply,LEISURE,Hobby,8,0,5,3,7,True,Buy supplies for hobby project,Hobbies enrich life but need material costs.,Enrichment,Hobby supplies
LEIS_014,Museum Visit,LEISURE,WeekendFun,4,0,4,2,7,True,Visit museum on a low-cost day,Some activities are educational and affordable.,Cultural luck,Museum visit
LEIS_015,Cheer for Free,LEISURE,SportsEvent,0,0,7,4,7,True,Cheer from the free area,Support your friends without overspending.,Supportive choice,Free sports support
SAVE_001,Move to Savings,SAVINGS,SavingsAction,0,5,10,1,7,True,Move money to savings jar,Protecting savings teaches delayed gratification.,Future security,Intentional savings
SAVE_002,Emergency Dip,SAVINGS,EmergencyFund,0,-5,4,4,7,True,Use savings for an emergency,Sometimes needs override goals; recover quickly.,Short-term relief,Savings withdrawal
SAVE_003,Savings Milestone,SAVINGS,NearGoal,0,0,6,4,7,True,Celebrate 25% savings progress,Recognising progress builds motivation.,Milestone reached,Progress celebration
SAVE_004,Skip Spending Day,SAVINGS,Temptation,0,3,8,2,7,True,Discipline day: skip extra spending,Zero spending days boost savings fast.,Power day,No-spend day
SAVE_005,Found Money,SAVINGS,SavingsAction,0,5,5,3,7,True,Found cash in old pocket,Unexpected money can go straight to savings.,Lucky find,Pocket cash discovery
SAVE_006,Tutor Earnings,SAVINGS,SavingsAction,-10,5,3,3,7,True,Help tutor junior and earn extra,Side income creates second chances.,Personal income,Part-time tutoring
SAVE_007,Reuse and Refund,SAVINGS,SavingsAction,0,2,6,2,7,True,Sell old items for savings fund,Declutter and fund savings together.,Recycling gain,Sell old stuff
SAVE_008,Weekly Check In,SAVINGS,Checkpoint,0,0,7,4,7,True,Check savings progress this week,Awareness builds accountability.,Reflection time,Progress check
SAVE_009,Emergency Buffer,SAVINGS,EmergencyFund,0,3,7,2,7,True,Put aside a small emergency buffer,A small buffer protects future choices.,Safety net,Emergency fund habit
SAVE_010,Pause Before Buying,SAVINGS,Temptation,0,2,7,3,7,True,Wait one day before big spending,Delaying a purchase helps separate wants from needs.,Impulse control,Cooling-off rule
SAVE_011,Tiny Reward,SAVINGS,Reward,2,0,5,5,7,True,Take a small planned reward,Rewards are safer when budgeted first.,Controlled treat,Small reward
SAVE_012,Keep Full Savings,SAVINGS,NearGoal,0,4,8,4,7,True,Leave savings untouched,Staying close to the goal protects momentum.,Goal protection,Near-goal discipline
FOOD_014,Pack Simple Snack,FOOD,Generic,1,0,8,1,7,True,Pack a simple snack from home,A planned snack prevents impulse spending.,Smart planning,Planned snack at home
FOOD_015,Choose Budget Meal,FOOD,Generic,3,0,8,1,7,True,Pick the cheapest filling meal,Choosing a basic meal keeps food costs predictable.,Budget discipline,Choose budget meal option
TRAN_016,Plan Route Early,TRANSPORT,Generic,0,0,7,1,7,True,Leave early and take the planned route,Planning avoids last-minute expensive transport.,Time saves money,Plan your transport route
LEIS_016,Free School Activity,LEISURE,Generic,0,0,8,1,7,True,Join a free school activity,Free activities protect your savings while staying social.,Social without spend,School free activity
LEIS_017,Rest at Home,LEISURE,Generic,0,0,7,1,7,True,Take a break at home,Rest is a valid no-spend choice.,Rest is valid,Take a rest day
SAVE_013,Track Spending,SAVINGS,Generic,0,0,9,1,7,True,Update your notebook budget,Tracking helps you see where the money went.,Awareness wins,Budget tracking habit
SAVE_014,Set Aside Small Amount,SAVINGS,Generic,2,0,8,1,7,True,Set aside a small amount for your goal,Small consistent savings add up.,Consistency pays,Regular small savings
SAVE_015,Check Savings Goal,SAVINGS,Generic,0,0,7,1,7,True,Review progress toward your goal,Checking progress keeps your goal visible.,Visible progress,Check savings progress
TRAN_017,Use Student Concession,TRANSPORT,Generic,1,0,8,1,7,True,Choose student concession travel,Student rates keep transport costs lower.,Lower costs,Student concession option
FOOD_016,Vending Machine Snack,FOOD,Snack,2,0,6,2,7,True,Buy snack from vending machine,Vending snacks are pricey for small portions.,Impulse cost,Vending machine snack
FOOD_017,Bakery Pastry,FOOD,Snack,2,0,5,2,7,True,Buy pastry from local bakery,Freshly baked pastries taste good but add spending.,Small regular cost,Bakery pastry purchase
FOOD_018,Canteen School Fair,FOOD,SchoolEvent,3,0,6,2,6,True,Buy food at school fair stall,School fairs have limited choices but festive prices.,School event cost,School fair food purchase
FOOD_019,Sports Day Meal,FOOD,SchoolEvent,2,0,5,3,6,True,Meal provided at sports day,Sports day often provides subsidised food.,Free or cheap meal,School sports day meal
FOOD_020,Study Group Meal,FOOD,SocialMeal,4,0,5,2,7,True,Eat with study group friends,Group study sessions often include shared meals.,Social learning cost,Study group meal
TRAN_018,Take Shelter and Wait,TRANSPORT,WeatherTravel,3,0,5,2,7,True,Wait for weather to pass at mall,Sheltering at shopping malls often costs food or drink.,Shelter cost,Wait out rain cost
TRAN_019,Raincoat Ride,TRANSPORT,WeatherTravel,1,0,6,2,7,True,Use raincoat and walk,A raincoat enables safe walking in wet weather.,Prepared traveller,Raincoat walk option
TRAN_020,Combine Trips,TRANSPORT,Errand,1,0,7,1,7,True,Combine multiple errands in one trip,One trip for several errands saves transport money.,Efficient planning,Combined errands trip
TRAN_021,Bicycle Errand,TRANSPORT,Errand,0,0,5,1,7,True,Cycle to run errands,Cycling handles multiple errands without transport cost.,Free errand transport,Bike errand run
TRAN_022,Tuition Bus Pass,TRANSPORT,TuitionTravel,1,0,7,2,6,True,Use monthly tuition pass,Regular tuition passes offer bulk discounts.,Discounted repeat cost,Tuition pass bulk rate
TRAN_023,Parent Drop Off,TRANSPORT,TuitionTravel,0,0,5,2,6,True,Parent drops you at tuition,Family transport to tuition saves your budget.,Free family ride,Parent tuition drop-off
LEIS_018,Home Movie Night,LEISURE,MovieTime,0,0,6,2,7,True,Stream movie at home,Free streaming saves cinema costs.,Free entertainment,Home streaming movie
LEIS_019,Matinee Show,LEISURE,MovieTime,6,0,5,3,7,True,Catch afternoon cinema discount,Matinee screenings cost less than evening shows.,Cheaper cinema,Matinee movie discount
LEIS_020,DIY Hobby Craft,LEISURE,Hobby,1,0,5,2,7,True,Use existing materials for hobby,Homemade hobby activities cost very little.,Budget hobby fun,DIY hobby craft
LEIS_021,Practice with Team,LEISURE,SportsEvent,0,0,6,2,7,True,Join free team practice session,Team practices are often free or low-cost.,Free sports time,Free team practice
SAVE_016,Small Safety Fund,SAVINGS,EmergencyFund,0,1,6,1,7,True,Keep $1-2 aside for surprises,Even tiny emergency funds prevent budget panic.,Peace of mind,Small emergency buffer
SAVE_017,Final Stretch,SAVINGS,NearGoal,0,2,8,4,7,True,Push hard the last few days to hit goal,The final stretch feels great when you are close.,Goal momentum,Final push to goal
SAVE_018,Unplug for a Day,SAVINGS,Temptation,0,1,5,2,7,True,Stay offline to avoid online shopping,Digital detox stops impulse purchases.,Avoid temptation,Offline no-spend day
SAVE_019,Celebrate Mini Win,SAVINGS,Checkpoint,0,0,6,3,7,True,Acknowledge your progress so far,Celebrating progress keeps motivation high.,Morale boost,Progress acknowledgement
SAVE_020,Adjust Weekly Plan,SAVINGS,Checkpoint,0,0,5,4,7,True,Tweak budget based on week progress,Adjusting your plan keeps it realistic.,Dynamic planning,Budget plan adjustment
SAVE_021,Ice Cream Treat,SAVINGS,Reward,2,0,6,4,7,True,Get cheap ice cream for trying hard,Small cheap treats reward your discipline.,Budgeted reward,Affordable ice cream treat
SAVE_022,Free Entertainment,SAVINGS,Reward,0,0,5,5,7,True,Enjoy free entertainment as a reward,Free activities reward your savings progress.,Zero-cost celebration,Free activity reward
TRAN_024,Coach Travel,TRANSPORT,LongTrip,5,0,5,3,7,True,Take intercity coach for far trip,Coaches offer cheaper long-distance travel.,Budget long trip,Coach travel option
